,country,continent,population,day,active_cases,critical_cases,total_cases,recovered_cases,1M_pop_cases,1M_pop_deaths,total_deaths,1M_pop_tests,total_tests
0,Afghanistan,Asia,40754388.0,2025-07-28,15098.0,55.32692307692308,234174.0,211080.0,5746.0,196.0,7996.0,34125.0,1390730.0
1,Albania,Europe,2866374.0,2025-07-28,1025.0,55.32692307692308,334863.0,330233.0,116825.0,1258.0,3605.0,677173.0,1941032.0
2,Algeria,Africa,45350148.0,2025-07-28,82068.0,55.32692307692308,272010.0,183061.0,5998.0,152.0,6881.0,5093.0,230960.0
3,Andorra,Europe,77463.0,2025-07-28,33602.818681318684,55.32692307692308,48015.0,3097055.0276243095,619844.0,2130.0,165.0,3225256.0,249838.0
4,Angola,Africa,35027343.0,2025-07-28,1971.0,55.32692307692308,107327.0,103419.0,3064.0,55.0,1937.0,42818.0,1499795.0
5,Anguilla,North-America,15230.0,2025-07-28,33602.818681318684,55.32692307692308,3904.0,3097055.0276243095,256336.0,788.0,12.0,3373736.0,51382.0
6,Antigua-and-Barbuda,North-America,99509.0,2025-07-28,6.0,55.32692307692308,9106.0,8954.0,91509.0,1467.0,146.0,189943.0,18901.0
7,Argentina,South-America,46010234.0,2025-07-28,746.0,55.32692307692308,10128845.0,9997258.0,220143.0,2844.0,130841.0,776264.0,35716069.0
8,Armenia,Asia,2971966.0,2025-07-28,7892.0,55.32692307692308,451831.0,435162.0,152031.0,2953.0,8777.0,1091164.0,3242901.0
9,Aruba,North-America,107609.0,2025-07-28,1494.0,2.0,44224.0,42438.0,410969.0,2714.0,292.0,1653068.0,177885.0
10,Australia,Oceania,26068792.0,2025-07-28,8716.0,3.0,11853144.0,11820014.0,454687.0,937.0,24414.0,3142326.0,81916639.0
11,Austria,Europe,9066710.0,2025-07-28,3811.0,55.32692307692308,6081287.0,6054934.0,670727.0,2486.0,22542.0,23302116.0,211273524.0
12,Azerbaijan,Asia,10300205.0,2025-07-28,745.0,55.32692307692308,835234.0,824089.0,81089.0,1010.0,10400.0,752223.0,7748050.0
13,Bahamas,North-America,400516.0,2025-07-28,874.0,1.0,38084.0,36366.0,95087.0,2107.0,844.0,643767.0,257839.0
14,Bahrain,Asia,1783983.0,2025-07-28,60.0,55.32692307692308,729549.0,727915.0,408944.0,882.0,1574.0,6137138.0,10948549.0
15,Bangladesh,Asia,167885689.0,2025-07-28,33602.818681318684,55.32692307692308,2049377.0,3097055.0276243095,12207.0,176.0,29493.0,90862.0,15254399.0
16,Barbados,North-America,288023.0,2025-07-28,1283.0,55.32692307692308,110578.0,108647.0,383921.0,2250.0,648.0,2826715.0,814159.0
17,Belarus,Europe,9432800.0,2025-07-28,1327.0,55.32692307692308,994037.0,985592.0,105381.0,755.0,7118.0,1446722.0,13646641.0
18,Belgium,Europe,11668278.0,2025-07-28,521.0,55.32692307692308,4861695.0,4826798.0,416659.0,2946.0,34376.0,3209915.0,37454182.0
19,Belize,North-America,412190.0,2025-07-28,33602.818681318684,55.32692307692308,71409.0,3097055.0276243095,173243.0,1669.0,688.0,1397453.0,576016.0
20,Benin,Africa,12784726.0,2025-07-28,26.0,55.32692307692308,28036.0,27847.0,2193.0,13.0,163.0,47268.0,604310.0
21,Bermuda,North-America,61939.0,2025-07-28,10.0,55.32692307692308,18860.0,18685.0,304493.0,2664.0,165.0,16622128.0,1029558.0
22,Bhutan,Asia,787941.0,2025-07-28,1112.0,55.32692307692308,62697.0,61564.0,79571.0,27.0,21.0,2923739.0,2303734.0
23,Bolivia,South-America,11992656.0,2025-07-28,12579.0,220.0,1212131.0,1177145.0,101073.0,1868.0,22407.0,225993.0,2710261.0
24,Bosnia-and-Herzegovina,Europe,3249317.0,2025-07-28,8143.0,55.32692307692308,403615.0,379084.0,124215.0,5044.0,16388.0,580036.0,1884721.0
25,Botswana,Africa,2441162.0,2025-07-28,788.0,1.0,330638.0,327049.0,135443.0,1147.0,2801.0,830300.0,2026898.0
26,Brazil,South-America,215353593.0,2025-07-28,1783377.0,55.32692307692308,38743918.0,36249161.0,179908.0,3303.0,711380.0,296146.0,63776166.0
27,British-Virgin-Islands,North-America,30596.0,2025-07-28,33602.818681318684,55.32692307692308,7392.0,3097055.0276243095,241600.0,2092.0,64.0,3508269.0,107339.0
28,Brunei,Asia,445431.0,2025-07-28,99893.0,3.0,343719.0,243601.0,771655.0,505.0,225.0,1611437.0,717784.0
29,Bulgaria,Europe,6844597.0,2025-07-28,8159.0,22.0,1339851.0,1292944.0,195753.0,5661.0,38748.0,1705147.0,11671043.0
30,Burkina-Faso,Africa,22102838.0,2025-07-28,118.0,55.32692307692308,22114.0,21596.0,1001.0,18.0,400.0,11265.0,248995.0
31,Burundi,Africa,12624840.0,2025-07-28,1114.0,55.32692307692308,54721.0,53569.0,4334.0,3.0,38.0,27386.0,345742.0
32,Cabo-Verde,Africa,567678.0,2025-07-28,305.0,23.0,64477.0,63755.0,113580.0,735.0,417.0,707482.0,401622.0
33,Cambodia,Asia,17168639.0,2025-07-28,3.0,55.32692307692308,139103.0,136044.0,8102.0,178.0,3056.0,180062.0,3091420.0
34,Cameroon,Africa,27911548.0,2025-07-28,125.0,55.32692307692308,125379.0,123280.0,4492.0,71.0,1974.0,62762.0,1751774.0
35,Canada,North-America,38388419.0,2025-07-28,5744.0,99.0,4946090.0,4881312.0,128843.0,1538.0,59034.0,1734189.0,66572774.0
36,CAR,Africa,5016678.0,2025-07-28,127.0,2.0,15440.0,15200.0,3078.0,23.0,113.0,16205.0,81294.0
37,Caribbean-Netherlands,North-America,26647.0,2025-07-28,1168.0,55.32692307692308,11682.0,10476.0,438398.0,1426.0,38.0,1130559.0,30126.0
38,Cayman-Islands,North-America,67277.0,2025-07-28,22882.0,1.0,31472.0,8553.0,467797.0,550.0,37.0,3311280.0,222773.0
39,Chad,Africa,17413580.0,2025-07-28,2633.0,55.32692307692308,7701.0,4874.0,442.0,11.0,194.0,10988.0,191341.0
40,Channel-Islands,Europe,176463.0,2025-07-28,168.0,55.32692307692308,101717.0,101321.0,576421.0,1292.0,228.0,7099551.0,1252808.0
41,Chile,South-America,19250195.0,2025-07-28,67906.0,7.0,5384853.0,5252450.0,279730.0,3350.0,64497.0,2617225.0,50382097.0
42,China,Asia,1448471400.0,2025-07-28,118977.0,55.32692307692308,503302.0,379053.0,347.0,4.0,5272.0,110461.0,160000000.0
43,Colombia,South-America,51512762.0,2025-07-28,44821.0,342.0,6400173.0,6212152.0,124244.0,2780.0,143200.0,717327.0,36951507.0
44,Comoros,Africa,907419.0,2025-07-28,9.0,55.32692307692308,9109.0,8939.0,10038.0,177.0,161.0,2155977.8779342724,32988287.854460094
45,Congo,Africa,5797805.0,2025-07-28,983.0,55.32692307692308,25375.0,24006.0,4377.0,67.0,386.0,59991.0,347815.0
46,Cook-Islands,Oceania,17571.0,2025-07-28,51.0,55.32692307692308,7203.0,7150.0,409937.0,114.0,2.0,1120596.0,19690.0
47,Costa-Rica,North-America,5182354.0,2025-07-28,33602.818681318684,55.32692307692308,1238883.0,3097055.0276243095,239058.0,1819.0,9428.0,899158.0,4659757.0
48,Croatia,Europe,4059286.0,2025-07-28,32609.0,55.32692307692308,1309728.0,1258432.0,322650.0,4604.0,18687.0,1394355.0,5660084.0
49,Cuba,North-America,11305652.0,2025-07-28,61.0,55.32692307692308,1115251.0,1106660.0,98645.0,754.0,8530.0,1273936.0,14402674.0
50,Cura&ccedil;ao,North-America,165529.0,2025-07-28,971.0,3.0,45986.0,44720.0,277812.0,1782.0,295.0,3000640.0,496693.0
51,Cyprus,Asia,1223387.0,2025-07-28,0.0,55.32692307692308,681110.0,679745.0,556741.0,1116.0,1365.0,7879860.0,9640118.0
52,Czechia,Europe,10736784.0,2025-07-28,318.0,2.0,4759041.0,4715206.0,443246.0,4053.0,43517.0,5386552.0,57834241.0
53,Denmark,Europe,5834950.0,2025-07-28,0.0,55.32692307692308,3183756.0,3174942.0,545636.0,1511.0,8814.0,22165247.0,129333107.0
55,Djibouti,Africa,1016097.0,2025-07-28,74.0,55.32692307692308,15690.0,15427.0,15441.0,186.0,189.0,301094.0,305941.0
56,Dominica,North-America,72344.0,2025-07-28,0.0,55.32692307692308,16038.0,15964.0,221691.0,1023.0,74.0,3170187.0,229344.0
57,Dominican-Republic,North-America,11056370.0,2025-07-28,190.0,4.0,675890.0,671316.0,61131.0,397.0,4384.0,338350.0,3740928.0
58,DPRK,Asia,25990679.0,2025-07-28,0.0,55.32692307692308,4772813.0,4772739.0,183636.0,3.0,74.0,2155977.8779342724,32988287.854460094
59,DRC,Africa,95240792.0,2025-07-28,13381.0,55.32692307692308,99338.0,84489.0,1043.0,15.0,1468.0,8890.0,846704.0
60,Ecuador,South-America,18113361.0,2025-07-28,0.0,55.32692307692308,1070188.0,1034145.0,59083.0,1990.0,36043.0,170173.0,3082403.0
61,Egypt,Africa,106156692.0,2025-07-28,49228.0,122.0,516023.0,442182.0,4861.0,232.0,24613.0,34792.0,3693367.0
62,El-Salvador,North-America,6550389.0,2025-07-28,18215.0,55.32692307692308,201855.0,179410.0,30816.0,646.0,4230.0,398467.0,2610114.0
63,Equatorial-Guinea,Africa,1496662.0,2025-07-28,139.0,5.0,17229.0,16907.0,11512.0,122.0,183.0,244342.0,365697.0
64,Eritrea,Africa,3662244.0,2025-07-28,0.0,55.32692307692308,10189.0,10086.0,2782.0,28.0,103.0,6470.0,23693.0
65,Estonia,Europe,1321910.0,2025-07-28,33602.818681318684,55.32692307692308,628070.0,3097055.0276243095,475123.0,2270.0,3001.0,5271239.0,6968103.0
66,Eswatini,Africa,1184817.0,2025-07-28,648.0,55.32692307692308,75191.0,73116.0,63462.0,1204.0,1427.0,885119.0,1048704.0
67,Ethiopia,Africa,120812698.0,2025-07-28,5412.0,55.32692307692308,501157.0,488171.0,4148.0,63.0,7574.0,46066.0,5565340.0
68,Faeroe-Islands,Europe,49233.0,2025-07-28,33602.818681318684,55.32692307692308,34658.0,3097055.0276243095,703959.0,569.0,28.0,15802409.0,778000.0
69,Falkland-Islands,South-America,3539.0,2025-07-28,0.0,55.32692307692308,1930.0,1930.0,545352.0,1277.3482142857142,31297.616071428572,2439107.0,8632.0
